game,n1,n2,n3,n4,n5,n6
165,2,10,17,35,46,53
166,8,12,31,33,49,56
167,14,16,22,24,36,51
168,9,21,26,43,48,52
169,3,6,23,25,29,40
170,11,20,21,32,39,42
171,5,8,27,44,45,47
172,24,34,50,54,55,57
173,3,9,12,30,47,53
174,2,27,35,37,42,58
175,4,13,15,19,36,52
176,1,10,32,33,40,60
177,22,34,44,46,49,51
178,7,11,20,41,48,59
179,17,18,29,34,38,56
180,6,16,22,26,28,33
181,20,23,24,25,31,35
182,11,14,17,47,57,58
183,15,28,29,39,49,55
184,4,12,31,37,43,50
185,8,16,19,30,48,54
186,18,25,26,32,40,42
187,1,36,44,52,53,59
188,5,6,14,27,46,51
189,9,13,20,23,41,56
190,2,10,36,38,45,58
191,21,22,31,35,52,60
192,2,3,7,8,30,55
193,7,10,12,24,45,51
194,9,13,19,39,40,49
195,1,3,16,18,29,37
196,42,44,46,48,53,57
197,25,34,38,41,43,59
198,4,5,17,27,32,33
199,1,11,26,28,54,59
200,2,6,10,14,15,21
201,19,22,44,47,50,56
202,3,17,25,39,54,60
203,12,16,26,35,46,55
204,5,24,30,42,43,47
205,6,7,45,48,49,57
206,20,28,29,33,36,53
207,11,23,27,34,37,52
208,13,14,32,41,50,58
209,16,21,31,38,51,56
210,8,9,18,40,46,57
211,4,15,42,43,51,60
212,14,17,29,30,37,59
213,6,19,31,32,47,54
214,5,18,21,25,44,58
215,11,22,38,40,50,55
216,1,4,7,27,35,56
217,9,13,24,36,48,53
218,8,14,23,28,34,60
219,10,15,20,26,43,45
220,2,12,26,41,49,52
221,3,4,34,39,44,56
222,15,30,33,40,48,53
223,1,2,13,22,23,29
224,5,7,32,36,39,59
225,9,16,25,38,52,58
226,12,18,21,27,31,42
227,3,20,24,28,35,47
228,10,19,37,41,46,51
229,8,17,27,54,55,59
230,3,11,13,49,50,60
231,18,33,45,51,55,57
232,6,10,22,24,29,39
233,7,31,41,44,46,47
234,5,37,40,52,54,56
235,11,16,25,43,48,60
236,17,20,26,33,35,57
237,6,8,30,34,45,53
238,9,12,21,23,28,50
239,14,21,28,36,38,49
240,1,2,6,19,32,42
241,4,7,15,23,49,58
242,18,19,20,22,55,60
243,4,16,45,46,50,54
244,9,10,33,42,52,59
245,3,11,26,35,48,58
246,13,27,29,37,53,56
247,2,25,31,32,44,51
248,12,15,34,39,41,43
249,1,8,20,38,40,45
250,5,12,14,36,37,47
251,13,17,21,26,30,49
252,24,39,41,44,52,57
253,3,6,7,9,34,58
254,1,15,18,32,47,59
255,4,10,25,28,36,46
256,14,23,30,42,50,53
257,24,29,35,55,57,60
258,5,8,24,33,38,54
259,2,19,22,40,48,51
260,11,31,41,43,51,58
261,16,18,32,44,52,56
262,1,10,17,27,31,40
263,2,21,29,33,47,49
264,5,6,13,17,37,60
265,19,26,27,36,38,43
266,4,9,16,23,34,35
267,8,22,25,28,30,56
268,12,15,45,50,52,57
269,20,36,39,42,51,54
270,3,14,31,33,48,57
271,11,15,28,46,53,55
272,7,35,40,42,50,59
273,14,24,32,43,48,56
274,7,22,23,25,27,44
275,4,5,10,11,18,38
276,16,34,37,39,47,58
277,2,29,41,53,54,55
278,17,19,21,30,46,56
279,1,8,9,20,49,54
280,12,13,27,45,46,59
281,3,6,19,20,26,57
282,1,2,3,36,47,60
283,16,23,24,33,59,60
284,4,6,8,41,42,50
285,5,12,17,28,34,55
286,30,35,39,40,45,52
287,13,14,25,26,29,31
288,32,37,43,44,48,51
289,7,9,15,20,38,51
290,5,18,26,53,54,58
291,3,8,17,21,22,37
292,2,9,10,11,12,27
293,10,16,18,22,49,52
294,13,31,42,49,55,59
295,11,15,19,21,24,40
296,1,23,39,50,53,57
297,6,7,28,44,45,60
298,33,34,36,41,43,47
299,2,4,9,14,25,56
300,23,29,32,38,46,60
301,10,12,32,35,47,58
302,30,35,39,41,46,48
303,27,30,31,34,38,50
304,3,17,51,52,56,58
305,6,11,36,40,42,57
306,1,21,29,45,48,59
307,14,15,16,20,28,33
308,4,5,8,25,49,55
309,18,19,22,24,27,54
310,3,13,15,42,43,44
311,7,26,40,45,46,53
312,4,13,20,25,37,39
313,5,28,29,32,35,48
314,8,12,14,51,52,53
315,2,7,11,33,43,57
316,9,17,22,24,31,55
317,6,37,38,47,49,59
318,10,16,18,23,34,54
319,17,26,35,36,41,44
320,1,5,21,34,41,56
321,6,19,25,30,50,55
322,8,24,46,48,58,60
323,1,9,16,26,27,39
324,10,11,14,22,32,53
325,7,30,36,42,54,56
326,19,28,29,31,38,44
327,13,18,33,47,49,50
328,12,23,45,58,59,60
329,2,4,23,40,43,45
330,15,20,21,24,37,49
331,7,13,28,29,51,52
332,1,3,19,31,52,55
333,3,4,18,41,53,57
334,15,22,25,32,37,54
335,10,27,30,44,57,59
336,2,5,8,11,34,36
337,20,35,38,42,48,56
338,9,14,16,26,46,60
339,1,17,38,39,47,51
340,6,12,17,33,40,55
341,3,21,30,40,43,58
342,6,10,20,29,50,51
343,8,24,36,56,57,59
344,25,27,39,46,47,49
345,5,9,11,22,23,26
346,18,28,31,33,43,54
347,4,14,21,44,45,52
348,17,19,34,41,42,60
349,32,35,45,50,51,53
350,15,16,31,37,48,60
351,7,12,14,18,22,59
352,2,13,40,41,46,58
353,2,8,15,26,35,56
354,5,19,20,43,52,53
355,4,16,32,36,55,58
356,1,9,11,29,42,44
357,3,30,34,37,49,54
358,12,24,27,48,50,56
359,13,16,21,23,38,47
360,3,7,10,25,37,48
361,4,22,28,33,39,47
362,6,13,23,46,49,52
363,10,21,25,26,42,57
364,1,14,24,35,39,54
365,2,12,15,20,28,58
366,27,29,30,32,36,45
367,8,9,19,31,41,60
368,4,17,43,44,50,59
369,6,11,13,18,35,55
370,1,7,34,38,43,53
371,10,16,29,40,41,57
372,5,7,22,33,51,55
373,3,23,27,28,42,52
374,25,40,48,56,58,59
375,5,15,17,18,31,50
376,9,14,19,20,45,46
377,8,11,32,37,39,49
378,6,33,34,36,38,52
379,2,20,21,30,47,57
380,24,26,43,53,54,60
381,4,6,12,30,44,51
382,3,11,23,24,45,56
383,2,26,39,44,47,48
384,21,34,35,36,46,54
385,9,14,27,41,49,58
386,1,8,12,16,17,57
387,7,25,28,31,37,60
388,14,18,33,38,41,42
389,16,27,32,40,50,59
390,10,15,49,51,53,56
391,4,13,22,45,48,55
392,2,5,25,29,39,52
393,5,19,32,34,57,58
394,10,28,40,43,44,55
395,3,8,12,23,26,38
396,1,15,22,31,33,59
397,6,20,24,29,42,46
398,10,13,42,47,53,54
399,5,19,23,30,36,51
400,11,21,30,37,51,60
401,7,9,12,15,35,54
402,4,17,24,36,50,58
403,9,11,17,18,19,43
404,26,31,34,47,56,57
405,3,22,32,38,41,44
406,14,18,35,39,53,60
407,2,21,25,28,37,40
408,4,7,20,29,46,52
409,8,32,33,45,49,59
410,1,6,10,13,48,52
411,2,28,50,51,55,59
412,3,12,16,22,27,36
413,21,29,31,34,43,46
414,1,20,30,39,44,60
415,6,13,15,33,45,58
416,14,18,37,40,41,55
417,5,24,25,35,50,53
418,9,11,27,48,51,54
419,7,41,42,47,49,56
420,8,23,36,43,46,55
421,12,13,17,19,38,53
422,20,23,52,54,57,60
423,1,4,16,22,30,38
424,6,9,21,27,33,44
425,15,16,26,29,34,48
426,7,17,18,31,39,40
427,10,25,32,45,49,58
428,24,26,37,42,50,51
429,16,19,28,47,59,60
430,1,2,3,5,13,57
431,6,12,18,43,46,56
432,8,11,21,28,47,56
433,7,8,14,27,32,38
434,30,33,35,36,37,44
435,17,23,25,42,45,48
436,4,22,31,53,58,59
437,2,9,15,49,50,57
438,3,24,26,34,41,52
439,5,10,14,19,23,35
440,31,39,40,51,54,55
441,11,17,20,29,32,44
442,13,27,28,39,57,58
443,9,38,46,47,48,55
444,22,29,34,35,42,43
445,3,8,16,25,33,50
446,2,11,20,26,37,56
447,4,6,10,24,41,49
448,12,21,29,36,40,54
449,15,30,35,38,45,60
450,1,5,14,19,26,49
451,6,7,8,19,47,52
452,2,7,18,36,53,59
453,5,20,31,45,54,59
454,15,21,22,23,41,42
455,16,17,25,27,51,53
456,4,9,13,24,30,57
457,10,33,39,48,50,58
458,3,13,14,34,40,55
459,1,12,28,32,41,43
460,18,27,37,47,48,52
461,3,11,16,39,44,46
462,14,29,33,43,50,60
463,9,20,34,36,40,56
464,4,10,12,42,55,56
465,2,26,30,31,38,52
466,8,23,44,49,53,54
467,15,25,35,46,57,58
468,6,21,28,32,34,60
469,7,21,24,37,45,55
470,3,13,26,36,51,59
471,1,11,22,35,45,49
472,5,18,27,43,59,60
473,1,17,23,41,47,54
474,9,31,37,39,42,53
475,7,19,29,33,56,57
476,11,18,24,28,30,32
477,14,20,38,44,46,58
478,2,4,6,16,27,48
479,5,10,12,17,22,51
480,8,19,37,40,44,53
481,15,25,32,35,43,52
482,1,15,25,34,49,60
483,5,21,38,46,50,52
484,14,19,39,42,55,59
485,6,28,36,51,54,58
486,4,12,18,23,48,57
487,2,22,29,45,50,56
488,11,13,26,33,41,52
489,16,17,31,32,35,40
490,7,10,23,30,36,47
491,1,3,9,20,24,38
492,8,22,26,48,50,59
493,15,25,27,41,47,51
494,12,17,24,29,44,49
495,6,8,13,21,43,54
496,3,4,9,11,33,55
497,5,31,37,42,46,57
498,13,14,16,18,24,45
499,7,20,28,30,34,58
500,6,10,38,39,56,59
501,7,12,27,32,53,60
502,3,5,18,40,45,49
503,2,11,14,16,19,57
504,9,29,31,36,47,58
505,17,28,33,42,46,48
506,19,22,30,41,43,54
507,8,15,20,35,40,44
508,1,2,4,23,37,53
509,21,48,52,55,56,60
510,11,12,13,34,50,51
511,23,26,39,42,43,49
512,9,10,19,25,45,55
513,27,36,40,46,52,60
514,1,6,25,28,31,53
515,2,4,21,22,26,32
516,5,16,35,37,38,39
517,7,8,29,34,44,58
518,18,33,41,50,54,56
519,5,14,15,51,57,59
520,1,10,28,30,35,51
521,13,17,20,30,47,55
522,3,24,37,40,46,59
523,10,11,36,43,52,56
524,7,14,15,24,41,53
525,12,22,32,33,38,57
526,4,17,19,23,39,45
527,2,16,18,21,49,60
528,10,14,20,34,47,48
529,3,8,12,36,42,58
530,7,23,24,29,31,50
531,2,25,27,54,58,60
532,9,15,26,28,32,40
533,6,34,35,42,44,59
534,6,9,29,53,54,56
535,13,19,21,31,39,44
536,8,17,41,45,48,51
537,1,3,22,27,43,57
538,25,26,33,38,47,55
539,3,5,16,43,49,51
540,11,25,37,46,50,56
541,4,18,30,39,50,52
542,4,20,24,26,34,53
543,7,16,44,47,54,57
544,11,15,18,23,36,60
545,6,14,20,22,41,45
546,5,17,21,30,42,59
547,19,27,28,32,33,49
548,2,18,20,29,31,48
549,1,10,12,15,37,40
550,9,30,48,51,55,58
551,8,11,13,38,52,57
552,5,10,26,28,46,56
553,3,31,33,35,42,45
554,6,16,35,43,58,59
555,14,24,40,49,52,55
556,1,7,21,25,29,32
557,2,8,19,27,34,46
558,12,41,47,50,53,54
559,13,21,32,36,37,57
560,9,22,28,38,46,59
561,4,8,33,36,39,60
562,6,16,17,19,44,49
563,9,10,23,37,43,47
564,12,14,38,48,54,60
565,5,11,13,20,22,25
566,1,2,7,27,41,50
567,3,18,23,30,31,58
568,4,40,44,53,55,56
569,17,24,25,45,46,52
570,15,17,26,29,40,42
571,3,22,29,35,51,53
572,14,28,34,37,42,45
573,20,21,38,39,43,55
574,4,10,27,47,50,57
575,19,26,30,32,59,60
576,5,7,18,23,41,52
577,2,10,33,34,44,54
578,1,11,13,32,39,56
579,6,9,12,22,37,60
580,8,24,31,34,36,48
581,6,21,23,35,48,53
582,5,15,27,30,55,56
583,1,4,18,49,51,58
584,16,20,26,45,52,58
585,8,11,15,17,33,51
586,9,13,25,36,43,44
587,2,7,24,28,47,59
588,19,31,38,40,41,54
589,18,36,42,46,49,50
590,6,9,14,29,30,35
591,16,38,48,49,53,57
592,3,12,14,22,39,50
593,3,15,19,32,45,56
594,10,13,29,37,58,59
595,4,25,33,40,51,57
596,2,16,24,30,42,44
597,11,17,27,41,46,54
598,8,12,13,43,55,60
599,1,5,20,28,39,47
600,7,18,33,35,46,52
601,16,23,41,44,48,55
602,7,17,21,26,34,37
603,5,10,24,31,39,43
604,9,20,25,47,50,52
605,2,23,27,56,57,60
606,4,11,14,19,26,51
607,21,35,38,45,54,58
608,1,6,12,22,34,54
609,4,8,11,28,29,59
610,6,7,15,31,32,56
611,3,12,20,32,36,49
612,5,9,21,34,40,42
613,33,37,49,52,58,60
614,2,14,17,28,43,53
615,10,22,23,38,40,53
616,1,24,25,27,46,55
617,13,15,31,41,48,51
618,3,29,36,39,43,50
619,8,18,20,42,53,57
620,24,27,30,35,41,59
621,16,26,29,30,40,47
622,11,23,28,33,44,58
623,10,19,35,37,45,60
624,2,13,17,32,52,54
625,4,8,15,21,26,31
626,6,12,16,18,25,47
627,1,36,44,45,51,56
628,19,21,38,50,57,59
629,3,5,19,28,46,48
630,7,22,32,34,39,46
631,8,9,16,42,56,59
632,2,23,24,39,51,55
633,4,27,29,37,45,49
634,10,13,14,15,25,30
635,3,35,49,52,54,55
636,1,7,34,40,44,57
637,5,6,9,14,38,48
638,11,18,20,22,31,42
639,20,33,39,41,53,58
640,11,14,30,43,47,50
641,9,12,26,31,36,57
642,1,7,17,24,48,58
643,23,26,35,38,51,60
644,12,19,25,29,41,49
645,16,21,22,34,55,59
646,2,15,33,46,54,60
647,13,32,40,43,45,47
648,6,18,27,28,49,56
649,8,9,36,37,50,54
650,3,5,17,37,44,53
651,1,12,16,32,42,52
652,3,10,13,26,27,33
653,4,11,25,34,45,47
654,10,14,15,18,44,50
655,17,20,29,36,59,60
656,6,8,19,23,56,58
657,21,22,42,51,52,53
658,19,28,35,37,43,57
659,17,40,48,49,50,60
660,2,5,31,45,46,55
661,5,7,28,30,41,57
662,8,26,32,39,53,55
663,4,14,15,29,30,54
664,7,10,11,24,38,44
665,12,20,23,27,33,51
666,22,24,35,40,43,46
667,2,9,17,34,39,59
668,1,4,13,31,56,60
669,3,6,21,25,39,41
670,13,18,28,34,38,48
671,19,21,33,42,50,58
672,14,15,42,46,47,52
673,4,5,16,36,43,44
674,11,22,36,37,38,41
675,8,10,20,48,55,57
676,18,23,25,40,52,53
677,1,7,9,30,31,45
678,12,35,49,51,54,56
679,2,13,14,27,35,47
680,8,10,16,21,29,53
681,2,6,18,24,32,50
682,9,20,23,26,58,59
683,5,12,15,16,19,33
684,6,29,32,52,55,57
685,7,17,22,30,49,60
686,3,4,27,40,42,48
687,24,25,26,28,41,44
688,3,31,38,47,58,59
689,37,39,43,49,51,59
690,8,10,32,42,46,54
691,11,12,20,30,45,54
692,1,23,34,35,50,56
693,13,16,36,53,57,60
694,2,15,29,34,38,51
695,14,22,28,37,44,52
696,7,9,11,24,27,47
697,17,25,26,31,40,56
698,19,21,33,36,46,55
699,1,16,41,43,45,50
700,6,7,11,19,39,48
701,3,5,22,47,48,54
702,10,18,21,30,32,41
703,4,6,26,39,42,58
704,20,25,34,44,49,55
705,5,8,17,40,43,58
